name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1-комн. квартира,1250000,74850,3,5,Вторичка,16.7,Null,5.0,Null,1,Null,Без ремонта,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ш. Металлургов, 57",https://chelyabinsk.cian.ru/sale/flat/292906762/
1-комн. квартира,1250000,69444,5,5,Вторичка,18.0,Null,6.0,Null,1,1,Косметический,1969,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Null,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ш. Металлургов, 61А",https://chelyabinsk.cian.ru/sale/flat/292593119/
Студия,1250000,73529,2,5,Вторичка,17.0,9.0,3.0,Null,1,Null,Без ремонта,Null,Null,Панельный,Null,Null,Null,Null,Null,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ш. Металлургов, 57",https://chelyabinsk.cian.ru/sale/flat/293200379/
1-комн. квартира,1450000,80556,5,5,Вторичка,18.0,Null,13.0,2.5,1,Null,Косметический,1973,Null,Кирпичный,Деревянные,3,Центральное,Нет,Null,Null,Null,"Челябинская область, Челябинск, р-н Тракторозаводский, ул. Культуры, 98А",https://chelyabinsk.cian.ru/sale/flat/292517000/
1-комн. квартира,1500000,49180,5,5,Вторичка,30.5,17.0,6.0,Null,1,Null,Косметический,1971,Null,Null,Нет информации,2,Центральное,Нет,Центральное,Null,Null,"Челябинская область, Челябинск, р-н Тракторозаводский, ул. Танкистов, 191",https://chelyabinsk.cian.ru/sale/flat/291714353/
1-комн. квартира,1450000,86310,3,5,Вторичка,16.8,Null,5.0,Null,1,Null,Косметический,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ш. Металлургов, 57",https://chelyabinsk.cian.ru/sale/flat/293920228/
3-комн. квартира,1496000,25486,1,5,Вторичка,58.7,Null,Null,Null,Null,Null,Null,1975,Null,Блочный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ул. Комаровского, 11",https://chelyabinsk.cian.ru/sale/flat/293296489/
Студия,1330000,77326,4,5,Вторичка,17.2,Null,Null,2.5,Null,Null,Косметический,1969,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Null,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ш. Металлургов, 61А",https://chelyabinsk.cian.ru/sale/flat/293385520/
1-комн. квартира,1350000,49451,1,1,Вторичка,27.3,Null,8.0,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Челябинская область, Челябинск, р-н Советский, ул. 2-я Базовая, 24",https://chelyabinsk.cian.ru/sale/flat/294196624/
1-комн. квартира,1600000,69565,5,5,Вторичка,23.0,Null,6.0,Null,1,Null,Косметический,1969,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Null,Null,Null,"Челябинская область, Челябинск, р-н Металлургический, мкр. Бакал, ш. Металлургов, 61А",https://chelyabinsk.cian.ru/sale/flat/294420485/
