name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
310/1106 квартиры,1300000,16456,3,3,Вторичка,79.0,Null,8.0,2.9,1,1,Косметический,1952,Null,Блочный,Деревянные,3,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, ул. Глеба Успенского, 9",https://nn.cian.ru/sale/flat/288428796/
1/2 квартиры,1300000,23297,3,4,Вторичка,55.8,42.0,5.2,Null,1,1,Без ремонта,1963,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Сортировочный, Гороховецкая ул., 30",https://nn.cian.ru/sale/flat/283385856/
1/2 квартиры,1150000,22682,1,2,Вторичка,50.7,Null,Null,Null,1,Null,Без ремонта,1959,Null,Блочный,Деревянные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Архитектурная ул., 1А",https://nn.cian.ru/sale/flat/292147045/
1-комн. квартира,1500000,96774,-2,25,Новостройка,15.5,Null,Null,2.7,Null,Null,Null,Null,Null,Монолитно-кирпичный,Null,Null,Null,Null,Null,Неизвестно,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, 1-й микрорайон, Гранд Квартал Бетанкур жилой комплекс",https://nn.cian.ru/sale/flat/294499347/
1-комн. квартира,1500000,48387,2,2,Вторичка,31.0,16.0,10.0,Null,1,Null,Косметический,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Кооперативный поселок, Лесорубная ул., 11",https://nn.cian.ru/sale/flat/291582966/
2-комн. квартира,1600000,28881,2,2,Вторичка,55.4,30.8,7.0,2.5,1,Null,Косметический,1983,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Приокский, Черепичный поселок, 14",https://nn.cian.ru/sale/flat/262482289/
Апартаменты-студия,1400000,126126,1,5,Вторичка Апартаменты,11.1,3.1,3.0,2.5,1,Null,Евроремонт,1971,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Народная стройка, ул. Сергея Тюленина, 6",https://nn.cian.ru/sale/flat/289073329/
1/3 квартиры,1500000,33333,5,5,Вторичка,45.0,Null,Null,Null,1,1,Косметический,1965,Null,Панельный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Ярмарка, Должанская ул., 3",https://nn.cian.ru/sale/flat/292144484/
3-комн. квартира,1600000,30418,2,2,Вторичка,52.6,39.0,7.3,Null,Null,Null,Косметический,1952,Null,Null,Деревянные,2,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Березовая пойма, ул. Лучистая, 11",https://nn.cian.ru/sale/flat/293804594/
1/3 квартиры,1500000,32895,5,5,Вторичка,45.6,Null,Null,Null,1,1,Без ремонта,1970,Null,Кирпичный,Железобетонные,4,Центральное,Нет,Центральное,Null,Null,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Баранова, 5",https://nn.cian.ru/sale/flat/292244417/
