name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1/2 квартиры,1300000,24528,5,5,Вторичка,53.0,Null,Null,Null,Null,Null,Косметический,1981,Null,Кирпичный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Центральный, ул. Циолковского, 6/1",https://omsk.cian.ru/sale/flat/293968261/
1-комн. квартира,1100000,62147,1,5,Вторичка,17.7,Null,Null,2.5,Null,Null,Косметический,1992,Null,Панельный,Железобетонные,2,Центральное,Нет,Null,Null,Null,"Омская область, Омск, Центральный, ул. 2-я Учхозная, 4к2",https://omsk.cian.ru/sale/flat/293350190/
1/2 квартиры,1200000,26374,2,5,Вторичка,45.5,Null,Null,Null,1,Null,Косметический,1960,Null,Панельный,Железобетонные,6,Центральное,Нет,Null,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. Мамина-Сибиряка, 9",https://omsk.cian.ru/sale/flat/292487361/
2-комн. квартира,1200000,25105,1,2,Вторичка,47.8,32.0,9.0,Null,1,1,Без ремонта,1984,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Кировский, Входной микрорайон, 2888 километр железнодорожная станция, 5",https://omsk.cian.ru/sale/flat/291980994/
1-комн. квартира,1300000,50000,1,2,Вторичка,26.0,15.0,5.0,Null,Null,Null,Косметический,Null,Нет,Деревянный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 9-я Самарская, 8",https://omsk.cian.ru/sale/flat/291568887/
1-комн. квартира,1250000,65789,3,5,Вторичка,19.0,Null,5.0,2.5,1,Null,Косметический,1968,Null,Null,Нет информации,1,Центральное,Нет,Null,Null,Null,"Омская область, Омск, Центральный, мкр. 1-й Кирпичный, Краснознаменная ул., 2А",https://omsk.cian.ru/sale/flat/291433503/
2-комн. квартира,1300000,34211,1,1,Вторичка,38.0,28.0,8.0,Null,Null,Null,Косметический,1977,Null,Null,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Советский, Береговой микрорайон, пер. Малый, 4",https://omsk.cian.ru/sale/flat/288876101/
1-комн. квартира,1300000,46429,1,2,Вторичка,28.0,15.0,6.0,2.6,1,Null,Косметический,Null,Null,Деревянный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 10-я Самарская, 45",https://omsk.cian.ru/sale/flat/288311402/
1-комн. квартира,1300000,46429,1,2,Вторичка,28.0,15.0,6.0,2.6,Null,Null,Косметический,Null,Нет,Деревянный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 10-я Самарская, 45",https://omsk.cian.ru/sale/flat/285493374/
Студия,1200000,46154,2,2,Вторичка,26.0,Null,Null,Null,1,Null,Косметический,Null,Null,Деревянный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 9-я Самарская, 6",https://omsk.cian.ru/sale/flat/293585194/
