name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1-комн. квартира,1010000,82114,7,9,Вторичка,12.3,Null,5.0,Null,Null,Null,Null,1979,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,1,"Пермский край, Пермь, р-н Мотовилихинский, мкр. Вышка-2, ул. Гашкова, 5",https://perm.cian.ru/sale/flat/294272513/
1-комн. квартира,1180000,61780,1,5,Вторичка,19.1,16.8,Null,Null,1,Null,Косметический,1961,Null,Null,Нет информации,1,Нет информации,Да,Автономное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Гайва, ул. Вильямса, 69",https://perm.cian.ru/sale/flat/294484017/
Студия,1230000,69492,4,5,Вторичка,17.7,Null,Null,Null,1,Null,Косметический,1961,Null,Null,Нет информации,1,Нет информации,Да,Автономное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Гайва, ул. Вильямса, 69",https://perm.cian.ru/sale/flat/294385825/
Студия,1200000,62827,2,5,Вторичка,19.1,Null,Null,Null,2,Null,Косметический,1966,Null,Кирпичный,Железобетонные,5,Центральное,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Голованово, Сестрорецкая ул., 19",https://perm.cian.ru/sale/flat/293638360/
1-комн. квартира,1390000,41994,5,5,Вторичка,33.1,18.0,6.0,2.5,1,Null,Косметический,1987,Null,Кирпичный,Нет информации,3,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Домостроительный, ул. Героя Васькина, 11",https://perm.cian.ru/sale/flat/291094086/
Студия,1570000,92353,5,9,Вторичка,17.0,12.0,Null,Null,1,Null,Евроремонт,1983,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,1,"Пермский край, Пермь, р-н Свердловский, мкр. Октябрьский, ул. Емельяна Ярославского, 10/7",https://perm.cian.ru/sale/flat/294263087/
1-комн. квартира,1450000,60669,5,5,Вторичка,23.9,Null,Null,Null,Null,Null,Null,1975,Нет,Панельный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Чусовской водозабор, Водозаборная ул., 1",https://perm.cian.ru/sale/flat/290992696/
1-комн. квартира,1499999,87209,1,5,Вторичка,17.2,Null,Null,Null,1,Null,Косметический,1984,Null,Панельный,Железобетонные,1,Центральное,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Мотовилихинский, мкр. Вышка-2, Целинная ул., 13",https://perm.cian.ru/sale/flat/291904395/
Студия,1600000,121212,4,9,Вторичка,13.2,13.2,Null,2.5,1,1,Евроремонт,1979,Да,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,2,"Пермский край, Пермь, р-н Мотовилихинский, мкр. Вышка-2, ул. Гашкова, 13",https://perm.cian.ru/sale/flat/294179254/
1-комн. квартира,1500000,80214,1,5,Вторичка,18.7,18.0,Null,2.48,1,Null,Косметический,1971,Нет,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Молодежный, ул. Академика Веденеева, 7",https://perm.cian.ru/sale/flat/293359799/
Студия,1520000,101333,1,5,Вторичка,15.0,15.0,Null,Null,1,Null,Дизайнерский,1964,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Дзержинский, мкр. Комсомольский, ул. Машинистов, 49",https://perm.cian.ru/sale/flat/294495685/
Студия,1375000,80882,8,9,Вторичка,17.0,Null,Null,2.55,Null,Null,Косметический,1980,Да,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,1,"Пермский край, Пермь, р-н Свердловский, мкр. Октябрьский, ул. Емельяна Ярославского, 10/2",https://perm.cian.ru/sale/flat/292547513/
1-комн. квартира,1350000,71053,2,5,Вторичка,19.0,12.0,3.0,2.5,1,Null,Косметический,1967,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Кировский, мкр. Закамск, Торговая ул., 8",https://perm.cian.ru/sale/flat/291616524/
1-комн. квартира,1500000,85227,4,5,Вторичка,17.6,Null,Null,2.55,Null,Null,Косметический,1968,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Кировский, Ласьвинская ул., 56",https://perm.cian.ru/sale/flat/294110301/
Студия,1400000,110236,6,9,Вторичка,12.7,Null,Null,2.5,1,Null,Дизайнерский,1983,Да,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,1,"Пермский край, Пермь, р-н Свердловский, мкр. Октябрьский, ул. Емельяна Ярославского, 10",https://perm.cian.ru/sale/flat/293885238/
3-комн. квартира,1550000,34368,2,2,Вторичка,45.1,Null,7.0,Null,1,Null,Null,Null,Null,Деревянный,Null,Null,Null,Null,Null,Null,Null,"Пермский край, Пермь, р-н Мотовилихинский, мкр. Рабочий поселок, ул. Лифанова, 76",https://perm.cian.ru/sale/flat/293658791/
2-комн. квартира,1500000,39474,5,5,Вторичка,38.0,Null,Null,Null,Null,Null,Косметический,1987,Нет,Кирпичный,Нет информации,3,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Домостроительный, ул. Героя Васькина, 11",https://perm.cian.ru/sale/flat/288702229/
11/24 квартиры,1500000,20134,1,9,Вторичка,74.5,Null,6.0,2.5,1,1,Без ремонта,1980,Да,Кирпичный,Железобетонные,8,Центральное,Нет,Центральное,Null,1,"Пермский край, Пермь, р-н Дзержинский, мкр. Железнодорожный, Ветлужская ул., 58",https://perm.cian.ru/sale/flat/255023135/
1-комн. квартира,1900000,71970,1,5,Вторичка,26.4,12.8,7.0,2.5,Null,Null,Косметический,1993,Null,Панельный,Железобетонные,1,Центральное,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Энергетик, Краснослудская ул., 9",https://perm.cian.ru/sale/flat/292971074/
Студия,1790000,102286,5,5,Вторичка,17.5,Null,Null,Null,1,Null,Косметический,1970,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Свердловский, мкр. Свердловский, ул. Коминтерна, 28",https://perm.cian.ru/sale/flat/293364832/
Студия,1690000,120714,2,6,Вторичка,14.0,Null,Null,Null,Null,Null,Косметический,1975,Да,Кирпичный,Железобетонные,2,Центральное,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Свердловский, мкр. Островский, Рабоче-крестьянская ул., 17",https://perm.cian.ru/sale/flat/294245645/
1-комн. квартира,1850000,92500,2,5,Вторичка,20.0,12.0,4.0,Null,1,Null,Косметический,1968,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Свердловский, мкр. Владимирский, Серпуховская ул., 8",https://perm.cian.ru/sale/flat/270599609/
1-комн. квартира,1840000,60726,2,2,Вторичка,30.3,18.0,6.0,Null,1,1,Косметический,1961,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Гайва, ул. Вильямса, 75",https://perm.cian.ru/sale/flat/294340834/
Апартаменты-студия,1650000,137500,5,5,Вторичка Апартаменты,12.0,Null,Null,Null,1,Null,Евроремонт,1981,Null,Панельный,Железобетонные,9,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Индустриальный, мкр. Нагорный, ул. Космонавта Беляева, 61",https://perm.cian.ru/sale/flat/293579307/
1-комн. квартира,1750000,97222,1,5,Вторичка,18.0,14.0,2.0,Null,1,Null,Евроремонт,1973,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Свердловский, мкр. Владимирский, ул. 1-я Нейвинская, 1",https://perm.cian.ru/sale/flat/276783150/
1-комн. квартира,1800000,57508,2,2,Вторичка,31.3,Null,8.0,Null,1,Null,Косметический,1955,Null,Кирпичный,Деревянные,1,Центральное,Да,Null,Null,Null,"Пермский край, Пермь, р-н Свердловский, мкр. Владимирский, Серпуховская ул., 15",https://perm.cian.ru/sale/flat/272778031/
Студия,1700000,94444,9,10,Вторичка,18.0,Null,5.0,Null,1,Null,Дизайнерский,1981,Да,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,1,"Пермский край, Пермь, р-н Свердловский, мкр. Октябрьский, ул. Емельяна Ярославского, 10/3",https://perm.cian.ru/sale/flat/289902132/
1-комн. квартира,1730000,74892,4,5,Вторичка,23.1,16.5,3.0,2.5,1,Null,Косметический,1967,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Кировский, мкр. Закамск, Торговая ул., 8",https://perm.cian.ru/sale/flat/294460391/
1-комн. квартира,1900000,105556,3,5,Вторичка,18.0,13.0,3.0,Null,1,Null,Косметический,Null,Null,Кирпичный,Нет информации,Null,Нет информации,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Индустриальный, мкр. Нагорный, ул. Геологов, 11/2",https://perm.cian.ru/sale/flat/287146854/
1-комн. квартира,1800000,58824,5,5,Вторичка,30.6,Null,6.0,Null,1,Null,Без ремонта,1966,Null,Панельный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Кировский, мкр. Новый Крым, Воронежская ул., 20",https://perm.cian.ru/sale/flat/286641379/
2-комн. квартира,1690000,40143,1,2,Вторичка,42.1,28.0,6.0,Null,Null,Null,Косметический,1956,Null,Null,Нет информации,3,Центральное,Да,Центральное,Null,Null,"Пермский край, Пермь, р-н Орджоникидзевский, мкр. Голованово, Корсуньская ул., 15",https://perm.cian.ru/sale/flat/293890600/
2-комн. квартира,1780000,39732,2,4,Вторичка,44.8,37.0,5.0,Null,1,Null,Косметический,1985,Null,Кирпичный,Нет информации,1,Центральное,Нет,Null,Null,Null,"Пермский край, Пермь, р-н Дзержинский, ул. ОПМС-14, 1",https://perm.cian.ru/sale/flat/290535816/
1/2 квартиры,1900000,41037,2,5,Вторичка,61.8,46.3,6.0,2.2,1,2,Без ремонта,1971,Null,Панельный,Нет информации,6,Центральное,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Индустриальный, мкр. Балатово, просп. Декабристов, 16",https://perm.cian.ru/sale/flat/291201103/
Студия,1690000,134127,5,5,Вторичка,12.6,Null,Null,Null,1,Null,Дизайнерский,1971,Null,Кирпичный,Железобетонные,1,Котел/Квартирное отопление,Нет,Центральное,Null,Null,"Пермский край, Пермь, р-н Свердловский, мкр. Краснова, Серебрянский проезд, 17",https://perm.cian.ru/sale/flat/293311437/
