name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
Доля,1065000,16905,1,2,Вторичка,63.0,43.0,8.0,Null,1,Null,Без ремонта,1954,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Куйбышевский, мкр. 116-й километр, Соцгород поселок, ул. Фасадная, 3А",https://samara.cian.ru/sale/flat/288184663/
33/108 квартиры,1200000,28571,2,2,Вторичка,42.0,28.0,9.0,Null,Null,Null,Косметический,1969,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Куйбышевский, мкр. Красный Кряжок, ул. Красный Кряжок, 74",https://samara.cian.ru/sale/flat/293577094/
2-комн. квартира,1300000,37143,2,9,Вторичка,35.0,27.0,3.0,Null,Null,Null,Косметический,Null,Да,Кирпичный,Null,Null,Null,Null,Null,Null,1,"Самарская область, Самара, р-н Красноглинский, Береза поселок, 4-й квартал, 25А",https://samara.cian.ru/sale/flat/294030469/
Студия,1100000,47826,5,5,Вторичка,23.0,15.0,3.0,Null,Null,Null,Косметический,Null,Null,Кирпичный,Null,Null,Null,Null,Null,Null,Null,"Самарская область, Самара, р-н Красноглинский, мкр. Мехзавод, 2-й квартал, 10",https://samara.cian.ru/sale/flat/293865081/
16/45 квартиры,1050000,23179,5,5,Вторичка,70.3,45.3,8.8,4.0,Null,Null,Косметический,1958,Да,Кирпичный,Железобетонные,12,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Кировский, мкр. Металлург, ул. Победы, 141",https://samara.cian.ru/sale/flat/293243976/
19/71 квартиры,1200000,10178,7,9,Вторичка,117.9,19.2,10.0,Null,Null,Null,Косметический,1985,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,1,"Самарская область, Самара, р-н Куйбышевский, мкр. 116-й километр, Соцгород поселок, пер. Долотный, 16",https://samara.cian.ru/sale/flat/289367917/
1-комн. квартира,1300000,43189,1,5,Вторичка,30.1,14.7,8.7,Null,Null,Null,Без ремонта,1990,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Null,Null,Null,"Самарская область, Самара, р-н Красноглинский, мкр. Береза, 2-й квартал, 14",https://samara.cian.ru/sale/flat/292304819/
1-комн. квартира,1100000,61111,2,5,Вторичка,18.0,10.0,3.0,Null,Null,Null,Косметический,1965,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Null,Null,Null,"Самарская область, Самара, р-н Красноглинский, мкр. Береза, 3-й квартал, 2",https://samara.cian.ru/sale/flat/294332849/
1-комн. квартира,1300000,45614,1,9,Вторичка,28.5,12.0,11.5,Null,1,Null,Косметический,1978,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,1,"Самарская область, Самара, р-н Красноглинский, мкр. Прибрежный, ул. Никонова, 5",https://samara.cian.ru/sale/flat/293361742/
1-комн. квартира,1275000,67105,2,5,Вторичка,19.0,12.0,4.0,2.48,Null,Null,Косметический,1965,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Промышленный, просп. Юных Пионеров, 57",https://samara.cian.ru/sale/flat/285618880/
Студия,1100000,78571,3,6,Вторичка,14.0,10.0,2.0,Null,Null,Null,Косметический,1966,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Советский, пер. 2-й Безымянный, 4А",https://samara.cian.ru/sale/flat/293983490/
1-комн. квартира,1250000,96154,1,5,Вторичка,13.0,13.0,Null,Null,1,Null,Евроремонт,1960,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Советский, Физкультурная ул., 15",https://samara.cian.ru/sale/flat/291921766/
1-комн. квартира,1150000,60526,1,2,Вторичка,19.0,14.0,3.0,3.0,1,Null,Евроремонт,1952,Null,Кирпичный,Железобетонные,2,Центральное,Да,Центральное,Null,Null,"Самарская область, Самара, р-н Куйбышевский, мкр. 116-й километр, Соцгород поселок, ул. Кишиневская, 10",https://samara.cian.ru/sale/flat/291369421/
Студия,1290000,86000,1,5,Вторичка,15.0,11.0,Null,Null,Null,Null,Косметический,1972,Да,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Промышленный, ул. Свободы, 82а",https://samara.cian.ru/sale/flat/293883696/
1/2 квартиры,1170000,19500,5,5,Вторичка,60.0,44.6,7.0,Null,1,1,Косметический,1967,Null,Панельный,Железобетонные,4,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Советский, Балаковская ул., 14",https://samara.cian.ru/sale/flat/285844114/
1-комн. квартира,1250000,38941,3,3,Вторичка,32.1,17.0,6.0,Null,Null,1,Без ремонта,1962,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Красноглинский, мкр. Прибрежный, ул. Прибрежная, 10/1",https://samara.cian.ru/sale/flat/293133288/
1/2 квартиры,1300000,47273,1,5,Вторичка,47.0,27.5,6.0,Null,1,Null,Косметический,1973,Null,Блочный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Самарская область, Самара, р-н Кировский, мкр. 12,15, Черемшанская ул., 240",https://samara.cian.ru/sale/flat/272896941/
