name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
1-комн. квартира,1300000,41801,2,5,Вторичка,31.1,18.0,6.0,2.6,1,Null,Косметический,1972,Null,Кирпичный,Железобетонные,4,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Кировский, ул. Военный городок, 2",https://volgograd.cian.ru/sale/flat/293424986/
1-комн. квартира,1280000,41830,1,4,Вторичка,30.6,13.0,7.2,3.2,1,Null,Косметический,1955,Null,Кирпичный,Железобетонные,4,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Кировский, ул. Генерала Шумилова, 10",https://volgograd.cian.ru/sale/flat/287586388/
Студия,1200000,60000,2,2,Вторичка,20.0,11.0,4.0,Null,1,Null,Косметический,1989,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Null,Null,Null,"Волгоградская область, Волгоград, р-н Дзержинский, ул. Строителей, 17",https://volgograd.cian.ru/sale/flat/294289691/
3-комн. квартира,1280000,21993,1,2,Вторичка,58.2,41.5,6.0,Null,1,Null,Косметический,1969,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, Поселок Соляной территория, ул. Садовая, 3",https://volgograd.cian.ru/sale/flat/287586373/
1-комн. квартира,1190000,31481,1,3,Вторичка,37.8,20.0,10.0,3.0,1,Null,Косметический,1958,Null,Null,Железобетонные,4,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, Саушинская ул., 24",https://volgograd.cian.ru/sale/flat/292941721/
1-комн. квартира,1330000,43894,1,5,Вторичка,30.3,16.5,6.3,2.55,1,Null,Косметический,1976,Null,Кирпичный,Железобетонные,4,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Кировский, ул. Военный городок, 4",https://volgograd.cian.ru/sale/flat/290669192/
1-комн. квартира,1590000,49379,4,4,Вторичка,32.2,18.0,6.0,Null,1,1,Косметический,1960,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, Мачтозаводская ул., 118",https://volgograd.cian.ru/sale/flat/283038523/
Доля,1500000,53004,7,9,Вторичка,28.3,23.3,Null,2.7,1,1,Дизайнерский,1985,Да,Монолитный,Железобетонные,10,Центральное,Нет,Центральное,Null,1,"Волгоградская область, Волгоград, р-н Советский, Казахская ул., 16",https://volgograd.cian.ru/sale/flat/293249080/
1-комн. квартира,1600000,44444,4,4,Вторичка,36.0,18.0,6.0,2.7,1,1,Косметический,1960,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, Мачтозаводская ул., 118",https://volgograd.cian.ru/sale/flat/288139360/
Студия,1550000,53448,1,1,Вторичка,29.0,16.0,5.0,2.65,1,Null,Косметический,Null,Null,Кирпичный,Null,Null,Null,Null,Null,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, ул. Командира Рудь, 11А",https://volgograd.cian.ru/sale/flat/294450341/
1-комн. квартира,1350000,39130,1,5,Вторичка,34.5,17.4,9.1,Null,1,1,Косметический,1972,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, Саушинская ул., 4",https://volgograd.cian.ru/sale/flat/274755864/
2-комн. квартира,1450000,38158,1,5,Вторичка,38.0,26.0,7.4,Null,1,Null,Косметический,1972,Null,Кирпичный,Железобетонные,1,Центральное,Нет,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Красноармейский, Саушинская ул., 4",https://volgograd.cian.ru/sale/flat/274784290/
2-комн. квартира,1350000,37293,1,2,Вторичка,36.2,26.5,4.4,2.8,1,Null,Косметический,1958,Null,Кирпичный,Железобетонные,2,Центральное,Да,Центральное,Null,Null,"Волгоградская область, Волгоград, р-н Тракторозаводский, Мукачевская ул., 1",https://volgograd.cian.ru/sale/flat/294045841/
